Microsoft;01/01/2024;290.30
Apple;02/01/2024;370.10
Google;03/01/2024;310.20
Amazon;04/01/2024;190.75
Tesla;05/01/2024;480.90
Apple;06/01/2024;245.50
Google;07/01/2024;320.80
Amazon;08/01/2024;350.40
Tesla;09/01/2024;420.30
Microsoft;10/01/2024;390.75
Samsung;11/01/2024;440.50
Google;12/01/2024;510.20
Apple;13/01/2024;280.00
Microsoft;14/01/2024;500.60
Samsung;15/01/2024;460.80
Tesla;16/01/2024;560.40
Amazon;17/01/2024;370.25
Microsoft;18/01/2024;490.10
Google;19/01/2024;530.30
Apple;20/01/2024;330.90
