Apple;01/01/2024;250.75
Microsoft;02/01/2024;320.10
Google;03/01/2024;410.00
Amazon;04/01/2024;180.50
Tesla;05/01/2024;525.80
Apple;06/01/2024;220.30
Samsung;07/01/2024;350.75
Microsoft;08/01/2024;310.40
Apple;09/01/2024;450.00
Amazon;10/01/2024;275.20
Google;11/01/2024;500.00
Tesla;12/01/2024;620.50
Apple;13/01/2024;390.00
Microsoft;14/01/2024;450.90
Amazon;15/01/2024;300.25
Google;16/01/2024;520.75
Samsung;17/01/2024;490.10
Microsoft;18/01/2024;580.40
Apple;19/01/2024;610.30
Amazon;20/01/2024;340.90
